molecule_id,final_score
rxn:1:60111:44033,0.982928
rxn:1:60111:90299,0.971444
rxn:1:60111:123709,0.941304
rxn:1:60111:182998,0.906227
rxn:1:60111:182994,0.878357
rxn:1:60111:185180,0.845668
rxn:1:60111:60689,0.791239
rxn:1:60111:44076,0.771604
rxn:1:60111:192299,0.771345
rxn:1:60111:144951,0.742876
rxn:1:60111:24409,0.732943
rxn:1:60111:44092,0.712256
rxn:1:60111:44090,0.704726
rxn:1:60111:202998,0.698812
rxn:1:60111:44020,0.689148
rxn:1:60111:96308,0.668604
rxn:1:60111:44018,0.660902
rxn:1:60111:24407,0.644147
rxn:1:60111:116962,0.637123
rxn:1:60111:66138,0.629996
rxn:1:60111:79006,0.59839
rxn:1:60111:124160,0.59149
rxn:1:60111:44084,0.56787
rxn:1:60111:29977,0.565167
rxn:1:60111:127792,0.560213
rxn:1:60111:114409,0.555983
rxn:1:60111:44055,0.551799
rxn:1:60111:173167,0.544673
rxn:1:60111:129440,0.541611
rxn:1:60111:129960,0.53518
rxn:1:60111:173156,0.5342
rxn:1:60111:60670,0.522506
rxn:1:60111:156440,0.52019
rxn:1:60111:129194,0.517731
rxn:1:60111:0,0.517046
rxn:1:60111:153299,0.475529
rxn:1:60111:57672,0.45511
rxn:1:60111:45275,0.451437
rxn:1:60111:160212,0.440772
rxn:1:60111:29962,0.435582
rxn:1:60111:104220,0.415248
rxn:1:60111:179252,0.413469
rxn:1:60111:44048,0.410916
rxn:1:60111:74299,0.410549
rxn:1:60111:44014,0.39293
rxn:1:60111:229346,0.389925
rxn:1:60111:91440,0.385348
rxn:1:60111:44017,0.384031
rxn:1:60111:44406,0.375832
rxn:1:60111:44046,0.36457
rxn:1:60111:47440,0.338559
rxn:1:60111:43299,0.329419
rxn:1:60111:116977,0.317007
rxn:1:60111:27695,0.316978
rxn:1:60111:88952,0.310058
rxn:1:60111:179440,0.306585
rxn:1:60111:44404,0.287086
rxn:1:60111:162440,0.28388
rxn:1:60111:44080,0.26068
rxn:1:60111:129939,0.255725
rxn:1:60111:84408,0.252455
rxn:1:60111:79283,0.250844
rxn:1:60111:82378,0.238986
rxn:1:60111:145440,0.235571
rxn:1:60111:128299,0.221901
rxn:1:60111:44019,0.211479
rxn:1:60111:187299,0.210053
rxn:1:60111:58593,0.208892
rxn:1:60111:129911,0.196614
rxn:1:60111:82994,0.187704
rxn:1:60111:31299,0.179876
rxn:1:60111:7586,0.178277
rxn:1:60111:142997,0.173434
rxn:1:60111:134408,0.166962
rxn:1:60111:208299,0.164368
rxn:1:60111:204409,0.143719
rxn:1:60111:123810,0.137809
rxn:1:60111:135440,0.13422
rxn:1:60111:44041,0.091136
rxn:1:60111:74407,0.060108
rxn:1:60111:178299,0.058409
rxn:1:60111:127440,0.051441
rxn:1:60111:129980,0.008559
rxn:1:60111:27724,
rxn:1:60111:83585,
rxn:1:60111:141759,
rxn:1:60111:69712,
rxn:1:60111:153360,
rxn:1:60111:96890,
rxn:1:60111:84745,
rxn:1:60111:112216,
rxn:1:60111:141277,
rxn:1:60111:138526,
rxn:1:60111:105694,
rxn:1:60111:89142,
rxn:1:60111:210768,
rxn:1:60111:5011,
rxn:1:60111:43563,
rxn:1:60111:135049,
rxn:1:60111:3852,
rxn:1:60111:123785,
rxn:1:60111:159129,
rxn:1:60111:7432,
rxn:1:60111:187845,
rxn:1:60111:204475,
rxn:1:60111:5789,
rxn:1:60111:48840,
rxn:1:60111:66469,
rxn:1:60111:91359,
rxn:1:60111:39548,
rxn:1:60111:3723,
rxn:1:60111:184743,
rxn:1:60111:166613,
rxn:1:60111:169005,
rxn:1:60111:181276,
rxn:1:60111:143207,
rxn:1:60111:130842,
rxn:1:60111:59702,
rxn:1:60111:94192,
rxn:1:60111:84217,
rxn:1:60111:32003,
rxn:1:60111:207151,
rxn:1:60111:161197,
rxn:1:60111:5833,
rxn:1:60111:31966,
rxn:1:60111:14606,
rxn:1:60111:61742,
rxn:1:60111:31931,
rxn:1:60111:14816,
rxn:1:60111:600,
rxn:1:60111:12221,
rxn:1:60111:14768,
rxn:1:60111:14806,
rxn:1:60111:28213,
rxn:1:60111:31485,
rxn:1:60111:31782,
rxn:1:60111:31411,
rxn:1:60111:14902,
rxn:1:60111:1,
rxn:1:60111:60706,
rxn:1:60111:116989,
rxn:1:60111:173175,
rxn:1:60111:229345,
